,Unnamed: 0,sex,race,sex-race,two_year_recid,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,1167,0,0,0,0,1.0,0.1885363734670633,0.2,0.1930789657520206,0.079925888074616,0.999999999996362,0.1723520836785725,0.2,0.2181998556998556,0.1452925157979131
1,5476,0,0,0,1,1.0,0.6875840727391015,1.0,0.75,0.6879407744272614,1.0,0.6412435560001298,0.0,0.67,0.707222655025628
2,3135,0,3,3,1,1.0,0.962812737672572,1.0,0.93,0.7965351724232586,1.0,0.906290641226394,1.0,0.86,0.8500403982106433
3,5229,0,3,3,1,1.0,0.7041692011675806,1.0,0.939,0.643006972537796,1.0,0.6388354478861472,0.0,0.1775,0.6437059329110478
4,5000,0,5,4,0,1.0,0.5352502555011611,0.25,0.2729552669552669,0.4959675596592514,1.0,0.6059840347170427,0.5,0.4996666666666667,0.5603794621603855
5,1247,1,3,8,0,1.0,0.4667222366111992,0.0,0.0457142857142857,0.3903176248681759,1.0,0.5013944511017545,0.4285714285714285,0.4383123118711355,0.539149887127347
6,2082,1,4,9,0,1.0,0.2658080174963876,0.0,0.1033333333333333,0.1067410587446319,1.0,0.2009094880624378,0.5,0.2286666666666666,0.1485835545890226
7,1802,0,3,3,1,1.0,0.8654338857477986,1.0,0.73,0.7795849729809952,1.0,0.808260530575129,1.0,0.99,0.8167293712949161
8,5098,0,5,4,1,1.0,0.3103145832219143,0.0,0.25,0.5923542803526659,0.9999999999995453,0.2808892744253556,0.0,0.0257142857142857,0.2031516491090928
9,4965,0,3,3,1,1.0,0.2772279489960809,0.0,0.12,0.1476612121621704,0.9999999999995453,0.2808892744253556,0.0,0.0257142857142857,0.2031516491090928
10,4267,0,0,0,0,5.9825534698130995e-273,0.0940014924984965,0.0,0.12,0.020875297664658,2.2588930477043948e-297,0.1094149830561384,0.0,0.05,0.0756935830438676
11,475,0,3,3,1,1.0,0.978474837268372,1.0,0.88,0.9085851225871197,1.0,0.9258167075333028,0.0,0.78,0.8934048199612586
12,3105,0,3,3,1,1.0,0.2239335755035038,0.0,0.0683333333333333,0.1156726480112755,0.9999764464168888,0.2324895555823366,0.0,0.1082857142857142,0.154338770632517
13,4056,1,3,8,1,3.2620206650601807e-124,0.529436976654715,1.0,0.58,0.4512450898203497,1.0,0.584128827370507,0.6666666666666666,0.6949642857142854,0.7066370944425032
14,4916,0,0,0,1,1.0,0.7169013256985661,0.0,0.25,0.6160857138395518,0.9999999999977264,0.6229964244517,0.0,0.1208333333333333,0.5808387974706962
15,2673,0,0,0,0,1.0,0.6897316226350803,0.0,0.655,0.6677655364490205,1.0,0.6261109898226664,1.0,0.6548333333333334,0.6729949846470749
16,6145,0,3,3,1,1.0,0.3812696326263439,1.0,0.882,0.4111309524699159,0.9999999999995453,0.4165327483202647,1.0,0.94,0.4554695781075864
17,246,0,0,0,1,1.0,0.5276994948510231,1.0,0.75,0.4162507426496056,0.9999999999772626,0.5440728395394059,0.4545454545454545,0.6120043412469883,0.4754756300388532
18,4933,1,4,9,0,0.0,0.2539896480466331,0.0,0.2668224177256435,0.0126120570908865,1.0,0.3473438149608316,0.0,0.5030745982603568,0.2292483571118961
19,2720,0,3,3,1,1.0,0.4679974965050618,0.5714285714285714,0.5918901237651236,0.4133541337335965,0.9999999999990904,0.4372888301369264,0.2777777777777778,0.2567484560926477,0.3954026607668576
20,801,0,3,3,0,1.0,0.6405606874573969,0.0,0.7771190476190477,0.6092013875697577,1.0,0.5888452394826351,0.6,0.5759895382395382,0.5509288026705511
21,2298,0,0,0,1,1.0,0.3742117722913404,0.0,0.1159999999999999,0.3447863091967769,1.0,0.2974578651372943,0.0,0.035595238095238,0.4804731140039571
22,640,1,3,8,1,1.0,0.9229869058814164,1.0,0.68,0.7287208921362305,1.0,0.9656401901701508,1.0,0.86,0.8977068728188671
23,1739,0,3,3,0,1.0,0.617906751905433,0.0,0.715,0.6665769018725667,1.0,0.5886044623073119,0.3333333333333333,0.6178333333333333,0.7058936535005408
24,1469,0,0,0,1,1.0,0.3601736236875699,1.0,0.6966666666666668,0.2889923420834803,1.0,0.3703531097738601,0.4,0.3712796370296369,0.2601716941554509
25,5563,0,0,0,1,0.9999999999984084,0.2631721626471439,0.0,0.1297023809523809,0.1576931624191622,2.1974586553802518e-13,0.3162769099168518,0.3333333333333333,0.271333694083694,0.1946981178173516
26,2557,0,3,3,1,1.0,0.6347570975879514,1.0,0.7,0.7417913819890188,1.0,0.6114513541371879,1.0,0.8997191697191697,0.6584109663907526
27,4942,0,4,7,0,1.0,0.3116889422097163,0.0,0.2233333333333333,0.3239220906105736,0.9999999999995453,0.2808892744253556,0.0,0.0257142857142857,0.2031516491090928
28,977,0,0,0,0,1.0,0.4926873380658604,0.0,0.0741919191919191,0.4865713998441313,0.9999999999990904,0.457432665942554,0.4666666666666667,0.4527562611727573,0.4101247573753003
29,4218,0,3,3,1,1.0,0.5461819567833005,1.0,0.6975,0.6035795690371007,1.0,0.5297769271030829,1.0,0.8385773809523811,0.4353408165200435
