,Unnamed: 0,age,y,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,5913,0,0,2.205991693949339e-10,0.0108067512034731,0.0,0.01,0.0004340323216356,0.9999836868272652,0.1523000888124447,0.0,0.13,0.2168214252767548
1,10117,0,0,3.1970657745137034e-10,0.0099631242537882,0.0,0.0,0.0005889082484121,0.9999696012213312,0.1022507333433403,0.0,0.06,0.4535726346886085
2,19895,0,0,1.7422538833352412e-06,0.017509271827521,0.0,0.02,0.0013397319309044,0.9999999062973766,0.1852046047345146,0.0,0.06,0.5247759656653154
3,38746,0,0,1.0,0.4723749737467524,0.0,0.34,0.1682773004372916,0.9999999999999964,0.5449063933782154,0.0,0.45,0.6843421865895939
4,13717,0,0,5.690883787628382e-11,0.0172367544560126,0.0,0.0,0.0008663369784803,0.9997263247366563,0.1202632510011573,0.0,0.04,0.2521087846857102
5,22031,0,0,2.617346639794978e-06,0.0182152839276152,0.0,0.0,0.0013180011671034,0.9999999268727064,0.1901667177576902,0.0,0.05,0.5089327613695899
6,8034,0,0,1.0609652909606856e-11,0.0183024466030738,0.0,0.01,0.000946002781293,0.9995884992366718,0.1311334863991284,0.0,0.11,0.3200903608298294
7,36348,0,0,0.0025168967859548,0.0931767554846589,0.0,0.28,0.0105573642254816,0.999999999743462,0.5409312435309104,0.0,0.31,0.8307762013138892
8,12668,0,0,9.731647861098906e-10,0.058251584052836,0.0,0.14,0.0037179457681958,0.999921490822966,0.216815804050944,0.0,0.33,0.5113450477733913
9,21457,0,0,1.0345814551735751e-08,0.0168962279752297,0.0,0.0,0.0009800333843644,0.9999972772837264,0.1835591107612955,0.0,0.13,0.4033619351280776
10,19234,0,0,7.361111053771718e-12,0.0127932239416711,0.0,0.01,0.0007562442027309,0.9985380027050288,0.1398877021067523,0.0,0.14,0.3014926973513942
11,6988,0,0,1.4045419094025622e-10,0.0185781629120938,0.0,0.0,0.0006699872622429,0.9999575747117052,0.2172356858298078,0.0,0.18,0.3750298784733165
12,22647,0,0,8.076312144047803e-05,0.1882989323871549,0.0,0.3,0.0198195861090959,0.9999999928753772,0.4990779425143514,0.0,0.22,0.7130651380950833
13,24799,0,0,1.0,0.1402857738240249,0.0,0.21,0.1054872973753493,1.0,0.2866314566720874,0.0,0.4,0.5025013080538887
14,10848,0,1,3.5514970930079744e-08,0.05022767445139,0.0,0.04,0.0042069688399724,0.9999971340172848,0.2397785300797963,0.0,0.02,0.6482084176119436
15,38425,0,0,1.0,0.3235444245272296,0.0,0.17,0.0513600866660846,1.0,0.7127749431027831,1.0,0.33,0.9701764389543815
16,25953,0,0,0.0002666755495029,0.0100449566205147,0.0,0.01,0.0005093599727903,0.9999999943490964,0.1102400836178731,1.0,0.1,0.1742965536035453
17,1619,0,0,6.776332327653654e-08,0.0120670835063399,0.0,0.0,0.0004034241628737,0.9999995513223586,0.1500691765597569,0.0,0.05,0.2174038197895818
18,30876,0,0,9.31192523475904e-05,0.0414177873515701,0.0,0.01,0.0032434280100503,0.9999999985504447,0.305188928538216,0.0,0.06,0.8535386598099729
19,29631,0,0,0.0105615993922571,0.1245399841901433,0.0,0.0,0.0121104449467231,0.9999999999708074,0.507770927015135,0.0,0.13,0.8938492856009812
20,10293,0,0,3.5090360374149064e-10,0.0138451626931559,0.0,0.0,0.0006725808542035,0.9998970512850424,0.1108372602376154,0.0,0.05,0.3234015519987002
21,28700,0,0,0.0011308649333175,0.0420435398215241,0.0,0.03,0.0029657424271825,0.999999999951548,0.3665256592707259,0.0,0.06,0.8609119318355872
22,34907,0,0,0.0055128690523224,0.0317498024010148,0.0,0.03,0.0020875027463778,0.9999999999457714,0.2141285010121084,0.0,0.18,0.7759757154205446
23,4153,0,0,3.9138226264170685e-08,0.0317827550294253,0.0,0.0,0.0012868288556679,0.9999993047579424,0.2736935209497562,0.0,0.08,0.3091954574724395
24,5662,0,0,2.186654163069699e-07,0.0078748293816946,0.0,0.0,0.0003741405399712,0.9998316889573872,0.1238892368812182,0.0,0.08,0.163922712162138
25,18577,0,0,1.2365858733453117e-06,0.0213145790255463,0.0,0.0,0.001598203899021,0.9999998715432146,0.2167865758006668,0.0,0.05,0.636408101234226
26,4157,0,0,8.077966744179426e-12,0.0105953442963197,0.0,0.01,0.0003255235829658,0.9998488063839384,0.143043799034247,0.0,0.13,0.2115013701103349
27,16264,0,0,4.876237753768918e-06,0.0940202477791907,0.0,0.01,0.0095899874221653,0.9999999227248548,0.3578942524131505,0.0,0.1,0.7143519082403417
28,6758,0,0,6.212867834779288e-11,0.0108301610378998,0.0,0.0,0.000411004939892,0.9998285883493488,0.1704954614214082,0.0,0.05,0.2434400936796473
29,19701,0,0,2.1206323264116777e-06,0.0144118088808411,0.0,0.08,0.0009729339925212,0.9999999936376724,0.1566148170667764,0.0,0.19,0.4690795679475347
30,38236,0,0,1.0,0.3498589867338059,0.0,0.56,0.0531905507155573,1.0,0.7302647168807502,1.0,0.62,0.8989257174458953
31,21096,0,0,1.4997608783628044e-05,0.0221694462174111,0.0,0.0,0.0012769410119653,0.9999999855246317,0.1821225600526914,0.0,0.05,0.4506987879752896
32,3146,0,0,6.410042703138426e-09,0.0091383848588181,0.0,0.0,0.0002918326173806,0.9999977576525568,0.1220615059682642,0.0,0.05,0.2232114084370899
33,3269,0,0,1.4799663775133588e-10,0.0196456635796505,0.0,0.0,0.000834941002111,0.9999995463100112,0.2080113220264315,0.0,0.07,0.210657900273519
34,2083,0,0,1.441251180988995e-12,0.0075743246685084,0.0,0.0,0.0002231528100438,0.9991785709294472,0.1298905378074517,0.0,0.07,0.1624100223227166
35,22630,0,0,1.5932902498738583e-05,0.0503628863702571,0.0,0.01,0.0033468160439553,0.9999999835164388,0.2564980967421204,0.0,0.09,0.5055728405097955
36,1428,0,0,3.5638645539664865e-12,0.0101782262961981,0.0,0.02,0.00031504480722,0.9995956771115628,0.1485194744432327,0.0,0.08,0.2563075225749268
37,8951,0,0,0.0005197929552108,0.0240025460886577,0.0,0.01,0.0024374634073022,0.9999976392965106,0.1613924024772475,0.0,0.01,0.6129180189129215
