,Unnamed: 0,sex,age,sex-age,credit,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,331,1,0,2,0,0.0346287101834742,0.0753307965463417,0.0,0.05,0.0910568468766054,2.144357629930195e-11,0.0579982797925382,0.0,0.04,0.1137460296482971
1,527,0,0,0,1,0.0002001561163163,0.0195266903967976,0.0,0.04,0.0503559630337342,9.034425111074991e-14,0.0128782798966521,0.0,0.01,0.1306702261801072
2,789,0,0,0,0,0.9996309528098238,0.78752965806332,1.0,0.57,0.0148816581737278,1.2052504592560186e-06,0.7974509158732682,0.0,0.53,0.3394425397770116
3,415,0,0,0,1,7.411858601427146e-05,0.0473119745370232,0.0,0.13,0.0040366390161838,1.866114604093541e-14,0.0352673857789924,0.0,0.09,0.0243331814065376
4,739,1,0,2,0,0.9999995528125616,0.7645663707876544,0.0,0.62,0.0222573216232132,0.0039219429420135,0.7868707511893602,1.0,0.55,0.177460055814429
5,616,0,0,0,1,0.9981917265378442,0.7016460492834051,1.0,0.45,0.0067466248619971,2.650583003349494e-07,0.7535201506159724,1.0,0.41,0.0629407078011748
6,502,0,0,0,1,0.0004122067947173,0.047954569397788,0.0,0.1,0.0410990884300795,1.574507529818344e-13,0.0398179472638889,0.0,0.1,0.1744390545898584
7,417,1,1,3,1,0.9925367058341074,0.5277363030196168,0.0,0.5,0.0003407041642386,2.429227297584933e-07,0.5649104272253601,1.0,0.36,0.1276568692021766
8,600,1,0,2,1,0.0001874030675014,0.1650450027812401,0.0,0.12,0.0352795037414277,4.8945244524672985e-14,0.1574851944094194,0.0,0.22,0.3109500276014885
9,579,0,0,0,1,9.007577318119382e-06,0.2090828847190161,0.0,0.35,0.1301256628844301,4.028161417755592e-16,0.1537817665413541,0.0,0.22,0.1757653884372118
10,509,0,0,0,1,0.0013501571963649,0.1260824675054476,1.0,0.16,0.0002858088658475,3.249089405174695e-13,0.096696649439839,0.0,0.23,0.033768017755134
11,951,0,1,1,0,0.8788530326689004,0.6412931188487384,1.0,0.58,0.4473057188184872,2.927864347102043e-09,0.5905144833623185,1.0,0.45,0.2569786977067284
12,526,1,0,2,1,0.1039997508531922,0.1139942090939716,0.0,0.07,0.072024555499284,6.333438872150656e-11,0.0862970225103924,0.0,0.03,0.178873629721157
13,519,0,0,0,1,0.0019602405156645,0.0243231245908356,0.0,0.05,0.0342378069468435,9.527289053942082e-13,0.0182820983107789,0.0,0.12,0.1550557586495011
14,290,0,0,0,1,6.840738909817309e-19,0.0468897486085876,0.0,0.07,0.0511099570785124,1.1252662745529904e-11,0.0415738503144203,0.0,0.06,0.1655561707580915
15,497,0,0,0,1,0.0022191095078749,0.0628211022908138,0.0,0.05,0.0919730827772314,8.672375644589017e-13,0.0452962610423038,0.0,0.04,0.0776664259235787
16,635,0,0,0,1,0.5781999934096641,0.0789122382821079,0.0,0.23,0.0130610600864507,2.21312648021665e-09,0.0681274966771272,0.0,0.13,0.1890519931457754
17,93,0,1,1,1,0.6066404571105255,0.1870053269961766,1.0,0.35,0.0140439917298373,7.897671777536651e-10,0.1765231664829313,1.0,0.25,0.1522585692063399
18,308,1,1,3,0,0.2574991021646445,0.1820328083572132,0.0,0.18,0.0323883268378296,1.5665676345475912e-10,0.1660706279387875,0.0,0.19,0.2439009335575162
19,6,0,0,0,1,0.0002876064266339,0.0601579692462266,0.0,0.11,0.0095613818625877,8.750006479176946e-14,0.0464860296309071,0.0,0.1,0.0705658654910739
20,765,0,0,0,1,0.000217097594875,0.1829220933168105,0.0,0.15,0.0514506701583021,6.159357103571313e-14,0.1704332325309894,0.0,0.11,0.2419900796970245
21,174,0,0,0,0,0.9986556305302752,0.7351228969562701,1.0,0.59,0.1162678764124489,3.9033430562613403e-07,0.6766699406690716,0.0,0.43,0.4572612811219436
22,157,0,0,0,1,0.8684145162159531,0.8348561605601569,0.0,0.72,0.4069338988243268,5.5700970369591e-10,0.8183677929971495,1.0,0.62,0.6522169089771358
23,384,0,0,0,1,0.0798711937540906,0.1888627792393895,0.0,0.28,0.0265481698423307,4.2117601846891387e-11,0.1660711943693342,0.0,0.23,0.064361536500129
24,179,0,0,0,1,0.1862073471062885,0.4132324639512732,0.0,0.39,0.2116790400471131,9.412802666012304e-11,0.3226321606267167,0.0,0.28,0.2651212506435894
25,693,0,0,0,1,0.0262547334281445,0.1384468302094917,0.0,0.13,0.0032336527512817,1.3495286101295872e-11,0.1209258312753205,0.0,0.12,0.1803782968220001
26,930,0,1,1,1,1.6725622255580933e-13,0.6715671870140032,1.0,0.51,0.3444237959020093,3.4868274171808496e-06,0.7177585975324686,0.0,0.37,0.5494016640651179
27,7,0,0,0,1,0.1730534008035267,0.5247673181292926,0.0,0.49,0.0026750320040411,5.55476679594548e-11,0.5158883269080167,0.0,0.52,0.0904387220031477
28,768,0,0,0,1,0.063090727337698,0.1456971181525539,1.0,0.36,0.0051637548319466,8.784893269146318e-11,0.149732199155948,0.0,0.34,0.1300812852680686
29,231,0,0,0,1,0.0046967793825456,0.0788592027804686,0.0,0.05,0.0049067349870817,1.8116095027588512e-12,0.0731591666674722,0.0,0.05,0.1952297446414012
30,614,1,1,3,0,0.0121149306900425,0.1296792183155172,0.0,0.2,0.1095453664044804,5.558758899130892e-12,0.1154462104117874,0.0,0.14,0.1372685151149539
31,491,1,0,2,0,0.99999999276654,0.5489049714489749,1.0,0.62,0.0001774154739278,0.3659084886227801,0.6214559869623941,1.0,0.63,0.1426131181275723
32,952,1,0,2,0,0.0013338105190019,0.3879825180740152,0.0,0.34,0.0069352929543715,5.334807950675457e-13,0.4303776275226472,0.0,0.33,0.1350431657033948
33,772,0,0,0,1,2.5601746019839536e-05,0.0245055514821521,0.0,0.05,0.0081044589539276,7.293849277101584e-15,0.0145188698586053,0.0,0.04,0.0464055594254146
34,197,1,0,2,0,0.5763693768691286,0.4321846729399474,0.0,0.58,0.0800459383858738,3.6140814659280237e-09,0.4242449720281582,1.0,0.51,0.3060759969776581
35,193,0,0,0,1,0.005161168133155,0.0534264446331164,0.0,0.01,0.0185130563765037,2.2525073318140127e-12,0.0451968131951564,0.0,0.01,0.1694970244996269
36,958,0,0,0,0,0.8567825351328462,0.7974166482045999,1.0,0.58,0.0378204289792483,2.561799826924188e-09,0.7930426473257791,0.0,0.41,0.3316016087666165
