,Unnamed: 0,race,sex,race-sex,income-per-year,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
0,17290,3,0,4,1,0.0099502562003231,0.1660499310456301,0.0,0.24,0.3266568607118927,0.0026917715370156,0.1009477373339203,1.0,0.44,0.0052297621437953
1,1679,1,1,6,0,5.25216038172796e-06,0.0669418645037086,0.0,0.01,0.0098347778507502,0.0004102098757393,0.0728822380606198,0.0,0.01,0.0003753351205907
2,10037,1,0,5,1,0.256737654274317,0.3733947108608962,0.0,0.096,0.1701989997781328,0.9998340523836045,0.2849434139545091,0.0,0.1675,0.0019966956355827
3,6973,0,0,3,1,0.489832797693032,0.4346560253287969,0.0,0.1123333333333333,0.1619718355287257,0.9999940197978928,0.286531977215998,1.0,0.2233333333333333,0.0028312690165407
4,17923,0,1,1,0,3.170736564743226e-08,0.0352019443931949,0.0,0.0,0.0030798018076847,1.628002438281558e-13,0.0250556569599809,0.0,0.0,0.0001640201110215
5,19131,0,0,3,1,0.983242067076771,0.4508684792598873,0.5,0.4645,0.7077294933226403,0.9999998098113106,0.3146524934095984,1.0,0.705,0.0105050798127624
6,6890,0,0,3,0,0.0009236254827576,0.0384521970688871,0.0,0.07,0.0781258982807595,0.7578313142842931,0.042677996333959,0.0,0.0,0.000898376704093
7,2129,0,0,3,1,0.0035979134937006,0.0719031465714338,0.0,0.02,0.1298539273983056,1.1682199188445624e-05,0.0928877700690789,0.0,0.1,0.001632070817412
8,24335,0,0,3,0,0.0526268560196862,0.2780868579792016,0.0,0.078,0.2172283250625879,0.0757858582307374,0.2519343080975368,0.0,0.065,0.0020208054845546
9,8271,0,0,3,0,0.4205785374128695,0.2429493830378518,0.0,0.08,0.1906073688160452,0.809596301272085,0.213157724238907,0.0,0.31,0.0015982891266628
10,25977,1,0,5,0,3.1159434948000174e-05,0.0380059549728176,0.0,0.03,0.0252895520288619,1.0909223875134559e-10,0.0240138253261996,0.0,0.02,0.000887627741503
